index,text,text2,text3
10,"this task. In the development of therapeutics and next-generation vaccines, more work is required to determine the structure/ function relationships of critical enzymes and structural proteins. SARS coronavirus The SARS coronavirus, sometimes shortened to SARS-CoV, is the virus that causes severe acute respiratory syndrome (SARS). On April 16, 2003, following the outbreak of SARS in Asia and secondary cases elsewhere in the world, the World Health Organization (WHO) issued a press release stating that the coronavirus identified by a number of laboratories was the official cause of SARS. Samples of the virus are being held in laboratories in New York","SARS coronavirus X4 like protein domain In molecular biology, SARS coronavirus X4 like protein domain is commonly shortened to SARS-X4. This protein domain is only found in viruses. It causes SARS Severe acute respiratory syndrome in humans which causes high rates of mortality. It is produced by a type of virus named the coronavirus (SARS-CoV). X4 is the protein domain which is a unique type I transmembrane protein. The precise protein of SARS X4 like protein remains to be elucidated however it has been suggested that it has binding activity to integrin I domains. Additionally it is thought to induce","the alpha and beta genera. Both MERS-CoV and SARS-CoV (severe acute respiratory syndrome) are betacoronaviruses. Global surveillance of potential epidemics and preparation has improved since and because of the SARS epidemic, and MERS is being closely monitored. The Fourth Meeting of the International Health Regulations Emergency Committee concerning MERS-CoV was held on 4 December 2013. The committee decided that the conditions for a Public Health Emergency of International Concern (PHEIC) had not at present been met. In November 2012, Egyptian virologist Dr. Ali Mohamed Zaki sent a virus sample from the first confirmed case to virologist Ron Fouchier, a leading"
11,"we can call K which is the sum of the two states of opposite strangeness, and K, which is the difference. The two are eigenstates of CP with opposite eigenvalues; K has CP = +1, and K has CP = −1 Since the two-pion final state also has CP = +1, only the K can decay this way. The K must decay into three pions. Since the mass of K is just a little larger than the sum of the masses of three pions, this decay proceeds very slowly, about 600 times slower than the decay of K into two","Electron rest mass The electron rest mass (symbol: ) is the mass of a stationary electron, also known as the invariant mass of the electron. It is one of the fundamental constants of physics and is also very important in chemistry because of its relation to the Avogadro constant. It has a value of about kilograms or about atomic mass units, equivalent to an energy of about joules or about 0.5110 MeV. The term ""rest mass"" is sometimes used because in Special Relativity the mass of an object can be said to increase in a frame of reference that is","electron energies can be measured in the range of 20 MeV to 4.6 GeV. The muon identifier (MI) is composed of nine layers of Iron absorbers and resistive plate counters (RPC). RPC are composed of two separated Bakelite plastic plates with gas between them and enclosed in an Aluminium box. Having MI enables discrimination between muons and kaons. A crucial component of the detector is the trigger system that selects the useful collision data to save for analysis. Before the trigger, there are 40 million background events per second detected, which is reduced to around 4 thousand interesting collisions per"
12,"conjugated diene α-terpinene (which can also easily be converted to ""p""-cymene). Evidence for this isomerization includes the formation of Diels–Alder adducts between α-terpinene adducts and maleic anhydride. It is possible to effect reaction at one of the double bonds selectively. Anhydrous hydrogen chloride reacts preferentially at the disubstituted alkene, whereas epoxidation with mCPBA occurs at the trisubstituted alkene. In another synthetic method Markovnikov addition of trifluoroacetic acid followed by hydrolysis of the acetate gives terpineol. In nature, limonene is formed from geranyl pyrophosphate, via cyclization of a neryl carbocation or its equivalent as shown. The final step involves loss of","substance, CHO, mp. 75–76 °C. The oil, when heated with water at 170 °C is converted, by addition of a molecule of water, into the crystalline substance. The latter contains two active hydrogen atoms (Zerewitinoff estimation), and on exposure to hydrogen over Pd/C absorbs enough to saturate one double bond producing a new substance, mp. 94–96 °C. On oxidation with permanganate in dilute sulfuric acid, propionaldehyde and succinic acid are produced, whilst the saturated substance, mp. 94–96 °C, is oxidised to ""n-""valeric acid. These results indicate that the substance of mp. 75–76 °C is εζ-dihydroxy-Δ-""n""-octene, that the oil, CHO, is","esterification. In order to produce the primary alcohol, it is necessary to adjust the protecting group of the C.30 once again, back to BOM. Although it would seem more logical to esterify the C.29 with a Blaise reaction first, the yield of this idea has shown to be insufficient. Therefore, the β-keto thioester is formed out of the alcohol by a quadruplet of reactions with respectively ""N"",""N′""-dicyclohexylcarbodiimide (DCC), ""N""-chlorosuccinimide (NCS), sodium chlorite and 1,1'-carbonyldiimidazole (CDI). With 2,3-dichloro-5,6-dicyano-1,4-benzoquinone (DDQ) treatment, this β-keto thioester can be converted into an unstable diol, which is the acyclic precursor of the end product. In order"
13,"Chromatin immunoprecipitation with sequencing (ChIP-seq) is a method used to identify protein binding sites on DNA and assess histone modifications. This tool has enabled examination of epigenetic regulation of browning and helps elucidate the mechanisms by which protein-DNA interactions stimulate the differentiation of beige adipocytes. Studies observing the chromatin landscapes of beige adipocytes have found that adipogenesis of these cells results from the formation of cell specific chromatin landscapes, which regulate the transcriptional program and, ultimately, control differentiation. Using ChIP-seq in conjunction with other tools, recent studies have identified over 30 transcriptional and epigenetic factors that influence beige adipocyte development.","is MACS which empirically models the shift size of ChIP-Seq tags, and uses it to improve the spatial resolution of predicted binding sites. Another relevant computational problem is Differential peak calling, which identifies significant differences in two ChIP-seq signals from distinct biological conditions. Differential peak callers segment two ChIP-seq signals and identify differential peaks using Hidden Markov Models. Examples for two-stage differential peak callers are ChIPDiff and ODIN. ChIP-sequencing ChIP-sequencing, also known as ChIP-seq, is a method used to analyze protein interactions with DNA. ChIP-seq combines chromatin immunoprecipitation (ChIP) with massively parallel DNA sequencing to identify the binding sites of","immunoprecipitation (ChIP) with massively parallel DNA sequencing to identify the binding sites of DNA-associated proteins. In epigenomics, this is often used to assess histone modifications (such as methylation). ChIP-seq is also often used to determine transcription factor binding sites. Single-cell ChIP-seq is extremely challenging due to background noise caused by nonspecific antibody pull-down, and only one study so far has performed it successfully. This study used a droplet-based microfluidics approach, and the low coverage required thousands of cells to be sequenced in order to assess cellular heterogeneity. Chromosome conformation capture techniques (often abbreviated to 3C technologies or 3C-based methods) are"
14,"same as to detect an Earth-sized planet in transit across a solar-type star—Jupiter-sized planets with an orbital period of a few days or less are detectable by sensitive space telescopes such as ""Kepler"". In the long run, this method may help find more planets than the transit method, because the reflected light variation with orbital phase is largely independent of the planet's orbital inclination, and does not require the planet to pass in front of the disk of the star. In addition, the phase function of a giant planet is also a function of its thermal properties and atmosphere, if","lack this last piece of information). Assuming the signal is due to a planet, these data can be used to obtain the size of the planet relative to its host star, the planet's distance from the host star relative to the host star's size (assuming zero eccentricity), and the orbital period of the planet. Combined with the estimated properties of the star described previously, estimates on the absolute size of the planet, its distance from the host star and its equilibrium temperature can be made. While it has been estimated that 90% of the KOI transit candidates are true planets,","their star as viewed from the Earth's perspective. Their inclinations relative to Earth's line of sight, or how far above or below the plane of sight they are, vary by less than one degree. This allows direct measurements of the planets' periods and relative diameters (compared to the host star) by monitoring each planet's transit of the star. The radii of the planets fall between 0.54 and 1.95 Earth radii. Of particular interest are the planets ""e"" and ""f"", as they are the best candidates for solid planets falling into the habitable zone of their star. Their radii, 1.61 and"
15,ether at −70 °C followed by reaction with dry ice yielded mostly racemic 2-methylbutyric acid but also an amount of optically active 2-methyloctanoic acid which could only have formed from likewise optical active 2-methylheptyllithium with the carbon atom linked to lithium the carbanion: On heating the reaction to 0 °C the optical activity is lost. More evidence followed in the 1960s. A reaction of the cis isomer of 2-methylcyclopropyl bromide with sec-butyllithium again followed by carboxylation with dry ice yielded cis-2-methylcyclopropylcarboxylic acid. The formation of the trans isomer would have indicated that the intermediate carbanion was unstable. In the same,"elements, especially bromine and iodine, were the earliest components used for developing HRIPs. In 1992, Gaudiana ""et al."" reported a series of polymethylacrylate compounds containing lateral brominated and iodinated carbazole rings. They had refractive indices of 1.67–1.77 depending on the components and numbers of the halogen substituents. However, recent applications of halogen elements in microelectronics have been severely limited by the WEEE directive and RoHS legislation adopted by the European Union to reduce potential pollution of the environment. Phosphorus-containing groups, such as phosphonates and phosphazenes, often exhibit high molar refractivity and optical transmittance in the visible light region. Polyphosphonates have","performed in DMF and DMSO because of the stability of 1,3-DPBF, in these solvents. In CHCl and CCl, the dissolved 1,3-diphenylisobenzofuran is rapidly photolyzed by attack of CHCl and CCl radicals, even in the absence of oxygen. [24 ] With ethanol, 1,3-diphenylisobenzofuran forms an orange-yellow, fluorescent solution. On irradiation, it forms a colorless photodimer (upon with exclusion of oxygen), upon disscolouration of the solution. The compound's refractive index is 1,6700 at 25 °C and 589 nm. In the presence of methylene blue irradiated with red laser light, 1,3-diphenylisobenzofuran reacts with intermediate singlet oxygen O, forming an unstable peroxide that decomposes"
16,"equilibrium pressure must exceed total atmospheric pressure of 101 kPa, which happens at 898 °C. Calcium carbonate is poorly soluble in pure water (47 mg/L at normal atmospheric CO partial pressure as shown below). The equilibrium of its solution is given by the equation (with dissolved calcium carbonate on the right): where the solubility product for [Ca] [CO] is given as anywhere from ""K"" = 3.7×10 to ""K"" = 8.7×10 at 25 °C, depending upon the data source. What the equation means is that the product of molar concentration of calcium ions (moles of dissolved Ca per liter of solution)","This necessitates the use of the tetra-sodium salt of EDTA rather than the more common di-sodium salt which is saturated at a concentration of only approximately 0.25 mol/L. An excellent application is the sequential determination of calcium and magnesium. Although calcium reacts exothermically with EDTA (heat of chelation ~-23.4 kJ/mol), magnesium reacts endothermically with a heat of chelation of ~+20.1 kJ/mol. This is illustrated in the titration plot of EDTA with calcium and magnesium in sea water (Figure 18). Following the solution temperature curve, the breakpoint for the calcium content (red-tagged endpoint) is followed by a region of modest temperature","runoff into marine environments, enabling the formation of shells and corals once reacted to form calcium carbonate. Calcium is one of the most common ions found in seawater, with an average concentration of 410 ppm in waterways worldwide, however the exact concentration is dependent of many factors, such as depth, temperature and organisms living in the specific region. As both calcium and carbon cycles are linked in the marine environments, the presence of either molecule will alter the composition of the waterway, with an overall reaction of CaCO3 (s) + CO2 (g) + 2H2O (l) ----> Ca2+ (aq) + 2"
17,"and isochronal analysis. There is some uncertainty in the scientific press concerning the higher ratio of elements heavier than hydrogen compared to those found in the Sun; what astronomers term the metallicity. Santos et al. (2004) report the logarithm of the abundance ratio of iron to hydrogen, [Fe/H], to be 0.12 dex, whereas Cenarro et al. (2007) published a value of –0.15 dex. Long term observation of this star's magnetic activity levels suggests that it is entering a Maunder minimum period, which means it may undergo an extended period of low starspot numbers. It has a Sun-like activity cycle that","logarithm of the ratio of metal elements (M) to hydrogen (H), minus the logarithm of the Sun's metal ratio. (Thus if the star matches the metal abundance of the Sun, this value will be zero.) A logarithmic value of 0.07 is equivalent to an actual metallicity ratio of 1.17, so the star is about 17% richer in metallic elements than the Sun. However the margin of error for this result is relatively large. The spectrum of A-class stars such as IK Pegasi A show strong Balmer lines of hydrogen along with absorption lines of ionized metals, including the K line","SDSS J1240+6710 SDSSJ1240+6710 or SDSS J124043.01+671034.68, nicknamed Dox, is a white dwarf with an atmosphere of almost pure oxygen discovered by Kepler de Souza Oliveira, Detlev Koester and Gustavo Ourique. The atmosphere also has a detectable amount of magnesium, neon (under 4%) and silicon, but no hydrogen, helium or carbon. A possible explanation for the unusual composition would be if its mass were close to the limit for collapsing to a neutron star. But its mass is only 0.56 solar masses, below the mass expected for a star that could convert carbon to oxygen, neon and magnesium. The star was"
18,"Michael reaction The Michael reaction or Michael addition is the nucleophilic addition of a carbanion or another nucleophile to an α,β-unsaturated carbonyl compound. It belongs to the larger class of conjugate additions. This is one of the most useful methods for the mild formation of C–C bonds. Many asymmetric variants exist. In this scheme the R and R' substituents on the nucleophile (a Michael donor) are electron-withdrawing groups such as acyl and cyano making the methylene hydrogen acidic forming the carbanion on reaction with base ""B:"". The substituent on the activated alkene, also called a Michael acceptor, is usually a",of an acetate group by the phenolic group to a diorganolead intermediate which in some related reactions can be isolated. The second step is then akin to a Claisen rearrangement except that the reaction depends on the electrophilicity (hence the ortho preference) of the phenol. The nucleophile can also be the carbanion of a β-dicarbonyl compound: The carbanion forms by proton abstraction of the acidic α-proton by pyridine (now serving a double role) akin to the Knoevenagel condensation. This intermediate displaces an acetate ligand to a diorganolead compound and again these intermediates can be isolated with suitable reactants as unstable,"Multiple Michael/aldol reaction Multiple Michael/aldol reaction (or domino Michael/aldol reaction) is a consecutive series of reactions composed of either Michael addition reactions or aldol reactions. More than two steps of reaction are usually involved. This reaction has been used for synthesis of large macrocyclic or polycyclic ring structures. Gary Posner and co-workers were the first to report using multiple Michael/aldol reactions to construct macrolide structures. Their method utilized a Michael-Michael-Michael-ring closure (MIMI-MIRC) or a Michael-Michael-aldol-ring closure annulation sequences to assemble acrylates and/or aldehydes together to form substituted 9-, 10-, and 11-membered macrolide structures. Besides synthesis of complex ring structures, multiple"
19,"formula_9 from the equation above, we get only half the measured value. The discrepancy is explained by our model not being accurate: nucleons in fact interact with each other, and are not spread evenly across the nucleus. For example, in the shell model, a proton and a neutron with overlapping wavefunctions will have a greater strong interaction between them and stronger binding energy. This makes it energetically favourable (i.e. having lower energy) for protons and neutrons to have the same quantum numbers (other than isospin), and thus increase the energy cost of asymmetry between them. One can also understand the","First a Hamiltonian for the nucleus is defined. Usually, for computational practicality, only one- and two-body terms are taken into account in this definition. The interaction is an effective theory: it contains free parameters which have to be fitted with experimental data. The next step consists in defining a basis of single-particle states, i.e. a set of wavefunctions describing all possible nucleon states. Most of the time, this basis is obtained via a Hartree–Fock computation. With this set of one-particle states, Slater determinants are built, that is, wavefunctions for ""Z"" proton variables or ""N"" neutron variables, which are antisymmetrized products","pions, as opposed to quarks and gluons as in QCD. The effective theory contains parameters called low-energy constants, which can be determined from scattering data. Chiral EFT implies the existence of many-body forces, most notably the three-nucleon interaction which is known to be an essential ingredient in the nuclear many-body problem. After arriving at a Hamiltonian formula_1 (based on chiral EFT or other models) one must solve the Schrödinger equation where formula_3 is the many-body wavefunction of the ""A"" nucleons in the nucleus. Various ab initio methods have been devised to numerically find solutions to this equation: Ab initio methods"
